semana,z_menos_3,z_menos_2,z_menos_1,z_zero,z_mais_1,z_mais_2,z_mais_3
27,18.78,20.51,22.25,23.98,25.71,27.45,29.18
28,20.32,21.91,23.51,25.11,26.70,28.30,29.90
29,21.71,23.19,24.68,26.16,27.64,29.12,30.60
30,22.98,24.37,25.75,27.14,28.52,29.90,31.29
31,24.15,25.45,26.75,28.05,29.35,30.66,31.96
32,25.21,26.44,27.68,28.91,30.15,31.38,32.61
33,26.19,27.36,28.54,29.72,30.89,32.07,33.25
34,27.09,28.22,29.35,30.48,31.61,32.74,33.87
35,27.92,29.01,30.10,31.19,32.28,33.38,34.47
36,28.69,29.75,30.81,31.87,32.93,33.99,35.05
37,29.41,30.44,31.47,32.51,33.54,34.58,35.61
38,30.07,31.09,32.10,33.11,34.13,35.14,36.16
39,30.69,31.69,32.69,33.69,34.69,35.69,36.69
40,31.27,32.26,33.25,34.24,35.22,36.21,37.20
41,31.81,32.79,33.78,34.76,35.74,36.72,37.70
42,32.32,33.30,34.27,35.25,36.23,37.20,38.18
43,32.80,33.77,34.75,35.72,36.70,37.67,38.64
44,33.25,34.22,35.20,36.17,37.15,38.12,39.09
45,33.67,34.65,35.63,36.60,37.58,38.56,39.53
46,34.07,35.05,36.03,37.01,38.00,38.98,39.96
47,34.45,35.44,36.42,37.41,38.39,39.38,40.37
48,34.81,35.80,36.79,37.79,38.78,39.77,40.77
49,35.14,36.14,37.15,38.15,39.15,40.15,41.15
50,35.46,36.47,37.49,38.50,39.51,40.52,41.53
51,35.77,36.79,37.81,38.83,39.85,40.87,41.89
52,36.06,37.09,38.12,39.15,40.18,41.22,42.25
53,36.33,37.37,38.42,39.46,40.50,41.55,42.59
54,36.59,37.65,38.70,39.76,40.81,41.87,42.92
55,36.84,37.91,38.98,40.05,41.11,42.18,43.25
56,37.08,38.16,39.24,40.32,41.40,42.48,43.56
57,37.31,38.40,39.49,40.59,41.68,42.78,43.87
58,37.52,38.63,39.74,40.85,41.95,43.06,44.17
59,37.73,38.85,39.97,41.10,42.22,43.34,44.46
60,37.93,39.07,40.20,41.34,42.47,43.61,44.74
61,38.12,39.27,40.42,41.57,42.72,43.87,45.02
62,38.30,39.47,40.63,41.79,42.96,44.12,45.28
63,38.48,39.66,40.83,42.01,43.19,44.37,45.54
64,38.65,39.84,41.03,42.22,43.42,44.61,45.80
